year,date,city,venue,teams,match_number,stage,toss_winner,toss_decision,first_inning_runs,first_inning_overs,first_inning_wickets,second_inning_runs,second_inning_overs,second_inning_wickets,winner,won_by_runs,won_by_wickets,player_of_match,super_over
2021,2021-05-02,Delhi,"Arun Jaitley Stadium, Delhi","{""Rajasthan Royals"",""Sunrisers Hyderabad""}",28,,Sunrisers Hyderabad,field,220,20,3,165,20,8,Rajasthan Royals,55,,"{""JC Buttler""}",f
2021,2021-09-19,Dubai,Dubai International Cricket Stadium,"{""Chennai Super Kings"",""Mumbai Indians""}",30,,Chennai Super Kings,bat,156,20,7,136,20,8,Chennai Super Kings,20,,"{""RD Gaikwad""}",f
2021,2021-09-20,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi","{""Royal Challengers Bangalore"",""Kolkata Knight Riders""}",31,,Royal Challengers Bangalore,bat,92,19,10,94,10,1,Kolkata Knight Riders,,9,"{""CV Varun""}",f
2021,2021-09-21,Dubai,Dubai International Cricket Stadium,"{""Rajasthan Royals"",""Punjab Kings""}",32,,Punjab Kings,field,185,20,10,183,20,4,Rajasthan Royals,2,,"{""Kartik Tyagi""}",f
2021,2021-09-22,Dubai,Dubai International Cricket Stadium,"{""Sunrisers Hyderabad"",""Delhi Capitals""}",33,,Sunrisers Hyderabad,bat,134,20,9,139,18,2,Delhi Capitals,,8,"{""A Nortje""}",f
2021,2021-09-23,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi","{""Mumbai Indians"",""Kolkata Knight Riders""}",34,,Kolkata Knight Riders,field,155,20,6,159,15.1,3,Kolkata Knight Riders,,7,"{""SP Narine""}",f
2021,2021-09-24,Sharjah,Sharjah Cricket Stadium,"{""Royal Challengers Bangalore"",""Chennai Super Kings""}",35,,Chennai Super Kings,field,156,20,6,157,18.2,4,Chennai Super Kings,,6,"{""DJ Bravo""}",f
2021,2021-09-25,Sharjah,Sharjah Cricket Stadium,"{""Punjab Kings"",""Sunrisers Hyderabad""}",37,,Sunrisers Hyderabad,field,125,20,7,120,20,7,Punjab Kings,5,,"{""JO Holder""}",f
2021,2021-09-25,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi","{""Delhi Capitals"",""Rajasthan Royals""}",36,,Rajasthan Royals,field,154,20,6,121,20,6,Delhi Capitals,33,,"{""SS Iyer""}",f
2021,2021-09-26,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi","{""Kolkata Knight Riders"",""Chennai Super Kings""}",38,,Kolkata Knight Riders,bat,171,20,6,172,20,8,Chennai Super Kings,,2,"{""RA Jadeja""}",f
