player,year,team
AT Rayudu,2010,Mumbai Indians
KA Pollard,2010,Mumbai Indians
A Uniyal,2010,Rajasthan Royals
AG Paunikar,2010,Rajasthan Royals
AP Dole,2010,Rajasthan Royals
SK Warne,2010,Rajasthan Royals
P Dogra,2010,Rajasthan Royals
S Narwal,2010,Rajasthan Royals
NV Ojha,2010,Rajasthan Royals
DR Martyn,2010,Rajasthan Royals
SK Trivedi,2010,Rajasthan Royals
GC Smith,2010,Rajasthan Royals
MM Patel,2010,Rajasthan Royals
AA Jhunjhunwala,2010,Rajasthan Royals
Kamran Khan,2010,Rajasthan Royals
SR Watson,2010,Rajasthan Royals
M Morkel,2010,Rajasthan Royals
YK Pathan,2010,Rajasthan Royals
AC Voges,2010,Rajasthan Royals
MJ Lumb,2010,Rajasthan Royals
AS Raut,2010,Rajasthan Royals
FY Fazal,2010,Rajasthan Royals
SB Wagh,2010,Rajasthan Royals
AD Mascarenhas,2010,Rajasthan Royals
SA Asnodkar,2010,Rajasthan Royals
SW Tait,2010,Rajasthan Royals
AJ Finch,2010,Rajasthan Royals
Harpreet Singh,2010,Kolkata Knight Riders
CK Langeveldt,2010,Kolkata Knight Riders
SC Ganguly,2010,Kolkata Knight Riders
RS Gavaskar,2010,Kolkata Knight Riders
DJ Hussey,2010,Kolkata Knight Riders
MB Parmar,2010,Kolkata Knight Riders
AB Dinda,2010,Kolkata Knight Riders
AD Mathews,2010,Kolkata Knight Riders
BAW Mendis,2010,Kolkata Knight Riders
M Kartik,2010,Kolkata Knight Riders
LR Shukla,2010,Kolkata Knight Riders
SE Bond,2010,Kolkata Knight Riders
I Sharma,2010,Kolkata Knight Riders
AB Agarkar,2010,Kolkata Knight Riders
OA Shah,2010,Kolkata Knight Riders
Mandeep Singh,2010,Kolkata Knight Riders
Iqbal Abdulla,2010,Kolkata Knight Riders
CH Gayle,2010,Kolkata Knight Riders
BB McCullum,2010,Kolkata Knight Riders
CA Pujara,2010,Kolkata Knight Riders
JD Unadkat,2010,Kolkata Knight Riders
BJ Hodge,2010,Kolkata Knight Riders
WP Saha,2010,Kolkata Knight Riders
MK Tiwary,2010,Kolkata Knight Riders
S Tyagi,2010,Chennai Super Kings
R Ashwin,2010,Chennai Super Kings
MS Gony,2010,Chennai Super Kings
